name	type	units
Fp1	EEG	microV
AF7	EEG	microV
AF3	EEG	microV
F1	EEG	microV
F3	EEG	microV
F5	EEG	microV
F7	EEG	microV
FT7	EEG	microV
FC5	EEG	microV
FC3	EEG	microV
FC1	EEG	microV
C1	EEG	microV
C3	EEG	microV
C5	EEG	microV
T7	EEG	microV
TP7	EEG	microV
CP5	EEG	microV
CP3	EEG	microV
CP1	EEG	microV
P1	EEG	microV
P3	EEG	microV
P5	EEG	microV
P7	EEG	microV
P9	EEG	microV
PO7	EEG	microV
PO3	EEG	microV
O1	EEG	microV
Iz	EEG	microV
Oz	EEG	microV
POz	EEG	microV
Pz	EEG	microV
CPz	EEG	microV
Fpz	EEG	microV
Fp2	EEG	microV
AF8	EEG	microV
AF4	EEG	microV
AFz	EEG	microV
Fz	EEG	microV
F2	EEG	microV
F4	EEG	microV
F6	EEG	microV
F8	EEG	microV
FT8	EEG	microV
FC6	EEG	microV
FC4	EEG	microV
FC2	EEG	microV
FCz	EEG	microV
Cz	EEG	microV
C2	EEG	microV
C4	EEG	microV
C6	EEG	microV
T8	EEG	microV
TP8	EEG	microV
CP6	EEG	microV
CP4	EEG	microV
CP2	EEG	microV
P2	EEG	microV
P4	EEG	microV
P6	EEG	microV
P8	EEG	microV
P10	EEG	microV
PO8	EEG	microV
PO4	EEG	microV
O2	EEG	microV
EXG1	MISC	n/a
EXG2	MISC	n/a
EXG3	MISC	n/a
EXG4	MISC	n/a
EXG5	MISC	n/a
EXG6	MISC	n/a
EXG7	MISC	n/a
EXG8	MISC	n/a
GSR1	GSR	n/a
GSR2	GSR	n/a
Erg1	MISC	n/a
Erg2	MISC	n/a
Resp	RESP	n/a
Plet	PPG	n/a
Temp	TEMP	n/a